City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bhawana,31.5682,72.6463,39.4,21,0,2.41,PK,1686134169
83,fortuna,40.5974,-124.156,13.38,95,100,0.0,US,1686134170
84,bredasdorp,-34.5331,20.0428,16.14,55,2,2.33,ZA,1686134170
85,weno,7.4401,151.857,25.47,94,100,2.06,FM,1686134171
86,luwuk,-0.9528,122.788,25.66,81,29,2.21,ID,1686134172
87,sorong,-0.8634,131.2545,26.61,85,100,3.57,ID,1686134172
88,puerto ayacucho,5.6576,-67.6044,22.32,97,82,1.44,VE,1686134173
89,qaqortoq,60.7182,-46.0385,3.02,86,89,1.72,GL,1686134173
90,blackmans bay,-43.0047,147.318,13.69,83,100,2.78,AU,1686134174
91,khost,33.3391,69.9206,31.99,20,0,4.98,AF,1686134175
92,castro,45.803,10.0671,25.0,50,99,1.34,IT,1686134176
93,iqaluit,63.7494,-68.5219,0.97,100,100,0.0,CA,1686134068
94,yendi,9.4466,-0.0035,33.06,50,39,3.47,GH,1686134177
95,kavieng,-2.5735,150.7952,28.07,79,84,3.52,PG,1686134177
96,dame-marie,48.8051,1.0167,22.33,58,0,5.27,FR,1686134178
97,fayetteville,36.0626,-94.1574,16.91,94,0,0.0,US,1686134179
98,invercargill,-46.4118,168.3471,3.9,91,9,2.12,NZ,1686134179
99,dambatta,12.4339,8.5151,22.06,35,82,4.25,NG,1686134180
100,ninotsminda,41.2653,43.5922,14.81,69,36,3.27,GE,1686134181
101,lihue,21.977,-159.3688,22.85,85,40,2.57,US,1686134181
102,plouzane,48.3817,-4.6212,20.13,71,0,5.66,FR,1686134182
103,jamestown,-15.9277,-5.7161,20.61,78,7,2.99,SH,1686134183
104,vadso,70.2267,29.7828,5.11,61,40,2.57,NO,1686134183
105,whitehorse,60.7216,-135.0549,7.43,70,40,4.63,CA,1686134184
106,pingliang,35.5432,106.6608,24.45,35,80,3.29,CN,1686134184
107,vernon,49.0918,1.4887,24.0,57,0,5.35,FR,1686134185
108,puerto deseado,-47.7516,-65.9013,6.42,50,100,8.33,AR,1686134186
109,iskateley,67.6762,53.1292,6.14,56,100,7.21,RU,1686134186
110,dum duma,27.57,95.554,40.05,23,48,2.5,IN,1686134187
111,constantia,44.1767,28.6508,24.37,53,87,5.82,RO,1686134156
112,ilulissat,69.2197,-51.0986,0.16,80,75,3.09,GL,1686134188
